Present_Tmax;LDAPS_RHmin;LDAPS_RHmax;LDAPS_Tmax_lapse;LDAPS_Tmin_lapse;LDAPS_WS;LDAPS_LH;LDAPS_CC1;LDAPS_CC2;LDAPS_CC3;LDAPS_CC4;LDAPS_PPT1;LDAPS_PPT2;LDAPS_PPT3;LDAPS_PPT4;lat;lon;DEM;Slope;Solar radiation;Next_Tmax
31,70;51,16;85,39;29,69;24,43;6,41;55,69;0,18;0,28;0,21;0,16;0,00;0,00;0,00;0,00;37,54;127,09;28,70;0,62;5864,00;31,20
31,60;51,29;80,34;28,94;24,37;6,42;28,72;0,25;0,26;0,18;0,13;0,00;0,00;0,00;0,00;37,55;126,99;132,12;0,59;5924,33;32,60
32,10;48,77;84,01;29,93;24,28;5,99;32,04;0,18;0,27;0,23;0,17;0,00;0,00;0,00;0,00;37,58;127,08;59,83;2,69;5861,03;31,40
31,30;50,75;74,50;29,50;24,46;6,32;16,84;0,36;0,32;0,24;0,15;0,00;0,00;0,00;0,00;37,50;126,93;30,97;0,62;5857,95;31,70
32,50;51,77;73,00;29,64;25,15;6,36;32,28;0,30;0,30;0,19;0,15;0,00;0,00;0,00;0,00;37,55;126,94;30,05;0,86;5866,66;30,80
30,70;56,85;84,41;28,48;23,70;5,64;83,42;0,28;0,29;0,25;0,13;0,00;0,00;0,00;0,00;37,47;127,00;82,29;2,26;5861,38;30,80
32,10;54,35;93,22;29,32;23,04;5,50;97,97;0,15;0,24;0,20;0,15;0,00;0,00;0,00;0,00;37,62;127,10;53,47;0,70;5872,38;31,50
32,80;56,14;88,36;28,68;23,45;5,67;81,94;0,19;0,29;0,26;0,14;0,00;0,00;0,00;0,00;37,48;127,02;56,44;1,23;5864,95;33,10
31,40;52,27;75,48;29,27;24,97;6,36;36,34;0,28;0,30;0,19;0,14;0,00;0,00;0,00;0,00;37,58;126,94;75,09;1,77;5893,58;31,80
30,90;61,49;95,25;28,50;23,03;6,81;70,17;0,20;0,19;0,14;0,12;0,00;0,00;0,00;0,00;37,62;127,00;146,55;4,73;5932,12;30,80
32,00;49,58;81,60;29,98;24,84;6,41;14,80;0,20;0,25;0,21;0,15;0,00;0,00;0,00;0,00;37,55;127,04;26,30;0,57;5859,32;30,60
32,20;54,51;88,52;29,19;23,80;6,02;88,08;0,18;0,27;0,22;0,16;0,00;0,00;0,00;0,00;37,51;127,09;21,97;0,13;5852,90;32,60
32,70;54,71;75,92;28,86;24,73;6,02;90,84;0,35;0,35;0,23;0,15;0,00;0,00;0,00;0,00;37,54;126,89;15,59;0,16;5851,39;31,80
31,50;52,07;73,69;29,34;24,86;6,22;49,01;0,34;0,35;0,21;0,15;0,00;0,00;0,00;0,00;37,52;126,91;17,30;0,22;5850,36;31,30
32,50;50,27;75,53;29,96;24,97;6,27;23,34;0,28;0,29;0,20;0,14;0,00;0,00;0,00;0,00;37,52;126,97;19,58;0,27;5855,09;32,00
28,30;72,80;97,64;25,28;21,14;15,61;64,91;0,62;0,84;0,81;0,62;0,80;9,93;0,24;0,85;37,60;126,99;212,34;2,79;5987,72;24,80
30,50;65,73;92,95;27,44;22,71;11,39;70,69;0,62;0,90;0,76;0,59;0,46;11,83;0,25;1,51;37,60;127,03;44,76;0,51;5863,96;27,30
30,30;62,74;90,57;28,38;23,10;11,70;78,72;0,61;0,89;0,77;0,60;0,54;11,49;0,27;2,76;37,58;127,06;33,31;0,27;5858,20;28,10
31,00;74,53;97,63;26,44;22,19;12,59;67,38;0,58;0,84;0,76;0,59;0,44;9,09;0,26;3,19;37,65;127,02;45,72;2,53;5851,58;27,90
30,80;72,64;94,37;27,01;23,10;12,42;105,30;0,60;0,88;0,72;0,62;0,34;9,16;0,26;3,40;37,55;127,14;35,04;0,51;5854,15;28,20
31,00;65,52;91,16;27,68;22,97;12,50;100,76;0,57;0,87;0,76;0,63;1,20;6,93;0,25;2,90;37,51;127,04;54,64;0,15;5868,37;28,90
30,50;73,59;93,42;26,43;22,53;13,29;122,13;0,61;0,77;0,74;0,56;0,56;5,49;0,20;0,60;37,58;126,84;12,37;0,10;5843,85;27,60
31,00;66,70;92,34;26,91;22,56;12,79;82,40;0,61;0,75;0,74;0,57;2,24;5,69;0,17;2,26;37,47;126,91;52,52;1,56;5858,53;28,20
30,50;72,06;93,54;26,21;22,07;13,75;75,84;0,58;0,78;0,69;0,56;1,49;6,84;0,21;2,03;37,50;126,83;50,93;0,41;5871,55;27,10
30,00;68,92;95,19;25,39;21,41;13,53;79,98;0,56;0,76;0,70;0,62;1,84;5,56;0,20;2,29;37,46;126,96;208,51;5,18;5887,62;27,50
30,60;64,82;90,87;28,30;23,27;11,86;97,13;0,59;0,90;0,75;0,61;0,76;8,23;0,26;3,23;37,54;127,09;28,70;0,62;5858,69;28,90
32,00;65,33;91,73;27,06;22,26;12,75;78,85;0,59;0,88;0,75;0,61;1,28;9,22;0,27;2,65;37,55;126,99;132,12;0,59;5918,90;26,80
30,90;62,57;91,01;28,26;23,09;11,33;80,93;0,61;0,90;0,77;0,61;0,41;11,41;0,27;3,01;37,58;127,08;59,83;2,69;5855,55;28,70
30,80;64,41;90,97;27,54;22,96;12,71;87,94;0,61;0,79;0,74;0,58;2,21;6,47;0,20;2,36;37,50;126,93;30,97;0,62;5852,55;27,90
30,10;64,74;90,72;27,65;22,85;12,40;84,72;0,60;0,84;0,77;0,58;1,63;8,09;0,24;2,39;37,55;126,94;30,05;0,86;5861,35;27,10
29,90;71,29;93,21;26,48;22,36;12,67;90,77;0,57;0,78;0,67;0,61;1,64;5,64;0,23;2,68;37,47;127,00;82,29;2,26;5855,75;27,50
30,60;70,14;93,94;26,43;22,67;10,64;68,67;0,65;0,88;0,78;0,60;0,23;11,94;0,27;1,72;37,62;127,10;53,47;0,70;5866,99;27,80
31,50;70,68;92,02;26,78;22,57;11,73;88,62;0,55;0,83;0,71;0,58;1,40;5,65;0,25;2,88;37,48;127,02;56,44;1,23;5859,46;29,20
30,80;65,73;91,58;27,21;22,38;12,58;76,92;0,62;0,85;0,77;0,59;1,40;8,44;0,21;1,39;37,58;126,94;75,09;1,77;5888,27;27,10
30,50;76,49;99,20;25,70;21,46;18,04;55,81;0,60;0,83;0,82;0,61;0,63;10,08;0,25;1,37;37,62;127,00;146,55;4,73;5926,91;27,30
30,50;63,79;91,54;28,36;23,17;11,90;82,02;0,60;0,86;0,77;0,61;0,89;10,05;0,28;2,95;37,55;127,04;26,30;0,57;5853,98;28,20
31,80;68,24;91,34;27,56;23,35;12,24;120,38;0,58;0,89;0,72;0,62;0,74;6,49;0,26;3,08;37,51;127,09;21,97;0,13;5847,51;29,10
31,50;68,43;91,65;27,19;22,74;12,79;111,36;0,63;0,80;0,74;0,58;1,55;7,30;0,23;2,26;37,54;126,89;15,59;0,16;5846,01;28,10
30,90;65,91;91,16;27,47;22,86;12,71;96,69;0,62;0,80;0,74;0,59;1,84;7,28;0,24;2,33;37,52;126,91;17,30;0,22;5844,96;28,20
31,50;63,30;90,15;28,07;23,12;11,79;88,43;0,59;0,86;0,77;0,60;1,76;7,81;0,25;2,59;37,52;126,97;19,58;0,27;5849,74;28,80
24,40;55,65;98,37;27,79;19,56;11,17;74,63;0,31;0,27;0,03;0,01;0,00;0,00;0,00;0,00;37,60;126,99;212,34;2,79;5981,98;28,10
27,00;47,85;91,92;30,19;21,08;8,84;54,55;0,25;0,27;0,03;0,00;0,00;0,00;0,00;0,00;37,60;127,03;44,76;0,51;5858,02;30,80
28,00;42,80;88,94;31,10;21,46;8,86;14,50;0,25;0,25;0,04;0,00;0,00;0,00;0,00;0,00;37,58;127,06;33,31;0,27;5852,27;31,20
27,70;55,04;96,98;29,51;19,55;6,98;81,49;0,17;0,15;0,01;0,00;0,00;0,00;0,00;0,00;37,65;127,02;45,72;2,53;5845,62;31,30
27,80;51,78;92,57;29,66;21,14;8,79;136,30;0,23;0,24;0,04;0,00;0,00;0,00;0,00;0,00;37,55;127,14;35,04;0,51;5848,16;31,30
28,80;47,95;90,09;30,09;21,12;8,83;53,81;0,25;0,21;0,03;0,00;0,00;0,00;0,00;0,00;37,51;127,04;54,64;0,15;5862,38;31,30
27,60;64,13;94,25;27,29;20,91;8,48;126,36;0,23;0,28;0,05;0,06;0,00;0,00;0,00;0,00;37,58;126,84;12,37;0,10;5837,89;30,00
27,80;54,79;91,94;28,76;20,73;9,05;47,79;0,28;0,22;0,03;0,00;0,00;0,00;0,00;0,00;37,47;126,91;52,52;1,56;5852,47;30,00
26,90;58,81;94,63;27,91;20,35;9,05;97,25;0,27;0,22;0,03;0,02;0,00;0,00;0,00;0,00;37,50;126,83;50,93;0,41;5865,61;30,10
27,50;55,52;95,69;27,98;19,70;10,07;65,56;0,23;0,16;0,02;0,00;0,00;0,00;0,00;0,00;37,46;126,96;208,51;5,18;5880,98;29,40
28,60;46,01;89,98;30,72;21,31;8,93;62,78;0,23;0,20;0,02;0,00;0,00;0,00;0,00;0,00;37,54;127,09;28,70;0,62;5852,80;31,60
26,20;46,70;91,76;29,52;20,51;9,66;26,66;0,27;0,24;0,03;0,01;0,00;0,00;0,00;0,00;37,55;126,99;132,12;0,59;5912,89;31,50
28,40;42,16;89,37;31,04;21,23;8,79;34,08;0,23;0,22;0,03;0,00;0,00;0,00;0,00;0,00;37,58;127,08;59,83;2,69;5849,48;31,60
27,60;49,84;90,46;29,64;21,06;9,26;16,92;0,26;0,23;0,04;0,01;0,00;0,00;0,00;0,00;37,50;126,93;30,97;0,62;5846,57;30,20
26,70;48,57;91,17;29,80;21,14;8,90;30,25;0,26;0,27;0,03;0,02;0,00;0,00;0,00;0,00;37,55;126,94;30,05;0,86;5855,47;30,40
27,50;53,76;93,80;29,21;20,60;8,28;96,13;0,20;0,15;0,02;0,00;0,00;0,00;0,00;0,00;37,47;127,00;82,29;2,26;5849,51;30,10
27,50;49,50;92,25;29,82;20,89;8,39;128,88;0,19;0,24;0,03;0,00;0,00;0,00;0,00;0,00;37,62;127,10;53,47;0,70;5861,01;31,40
29,00;51,93;92,04;29,57;20,84;8,02;102,43;0,21;0,19;0,03;0,00;0,00;0,00;0,00;0,00;37,48;127,02;56,44;1,23;5853,38;32,60
26,60;50,45;92,44;29,19;20,76;8,83;40,76;0,26;0,28;0,03;0,03;0,00;0,00;0,00;0,00;37,58;126,94;75,09;1,77;5882,38;30,50
27,10;58,53;99,54;28,07;19,83;11,89;77,43;0,27;0,23;0,01;0,00;0,01;0,00;0,00;0,00;37,62;127,00;146,55;4,73;5921,16;30,60
28,10;44,01;89,90;30,92;21,40;8,78;16,32;0,25;0,23;0,03;0,00;0,00;0,00;0,00;0,00;37,55;127,04;26,30;0,57;5848,05;30,50
29,00;48,91;90,62;30,21;21,34;8,34;91,60;0,23;0,23;0,03;0,00;0,00;0,00;0,00;0,00;37,51;127,09;21,97;0,13;5841,54;32,50
27,90;55,62;92,99;28,57;20,99;8,61;84,31;0,24;0,25;0,03;0,02;0,00;0,00;0,00;0,00;37,54;126,89;15,59;0,16;5840,06;31,20
27,90;51,37;91,92;29,30;21,10;8,84;45,62;0,25;0,24;0,03;0,02;0,00;0,00;0,00;0,00;37,52;126,91;17,30;0,22;5838,98;30,50
28,50;46,03;89,80;30,45;21,29;8,81;22,26;0,25;0,23;0,03;0,01;0,00;0,00;0,00;0,00;37,52;126,97;19,58;0,27;5843,81;31,00
27,90;76,02;95,99;28,13;21,98;10,55;39,81;0,19;0,39;0,44;0,79;0,00;0,00;0,00;0,05;37,60;126,99;212,34;2,79;5975,68;25,20
30,40;67,43;88,49;30,35;23,82;8,92;34,19;0,17;0,39;0,39;0,79;0,00;0,00;0,00;0,04;37,60;127,03;44,76;0,51;5851,50;28,40
30,70;63,90;84,93;30,92;23,99;8,84;10,26;0,16;0,46;0,38;0,80;0,00;0,00;0,00;0,04;37,58;127,06;33,31;0,27;5845,75;28,20
30,70;71,99;95,43;30,21;22,63;7,63;44,42;0,10;0,40;0,33;0,73;0,00;0,00;0,00;0,02;37,65;127,02;45,72;2,53;5839,09;28,40
30,50;70,63;90,73;29,87;23,11;9,12;83,30;0,13;0,41;0,40;0,76;0,00;0,00;0,00;0,04;37,55;127,14;35,04;0,51;5841,58;28,70
30,50;66,28;87,20;30,17;23,45;7,85;37,16;0,13;0,49;0,40;0,78;0,00;0,00;0,00;0,05;37,51;127,04;54,64;0,15;5855,80;28,30
29,10;80,02;93,48;27,91;23,18;8,71;78,75;0,24;0,51;0,49;0,73;0,00;0,00;0,00;0,05;37,58;126,84;12,37;0,10;5831,34;27,10
28,90;71,91;90,33;29,25;23,26;8,89;27,45;0,21;0,50;0,46;0,79;0,00;0,00;0,00;0,05;37,47;126,91;52,52;1,56;5845,82;27,10
29,40;77,24;92,52;28,18;22,89;9,19;51,93;0,23;0,50;0,47;0,76;0,00;0,00;0,00;0,04;37,50;126,83;50,93;0,41;5859,09;27,40
28,70;72,98;92,03;28,39;22,16;9,38;41,22;0,13;0,38;0,39;0,78;0,00;0,00;0,00;0,05;37,46;126,96;208,51;5,18;5873,69;26,20
31,60;65,22;86,97;30,54;23,85;8,27;41,56;0,14;0,48;0,45;0,78;0,00;0,00;0,00;0,05;37,54;127,09;28,70;0,62;5846,33;28,70
30,80;67,72;88,56;29,43;23,26;8,90;17,72;0,19;0,47;0,43;0,81;0,00;0,00;0,00;0,05;37,55;126,99;132,12;0,59;5906,28;28,00
31,10;63,46;84,99;30,71;23,71;8,54;22,30;0,16;0,45;0,42;0,79;0,00;0,00;0,00;0,04;37,58;127,08;59,83;2,69;5842,82;28,70
29,50;68,48;88,12;29,83;23,72;8,85;11,88;0,21;0,54;0,47;0,80;0,00;0,00;0,00;0,04;37,50;126,93;30,97;0,62;5840,00;27,50
29,60;69,28;88,06;29,79;23,77;8,41;21,18;0,21;0,52;0,47;0,78;0,00;0,00;0,00;0,05;37,55;126,94;30,05;0,86;5849,01;27,10
29,40;70,91;88,90;29,62;22,84;7,07;60,37;0,12;0,40;0,37;0,71;0,00;0,00;0,00;0,04;37,47;127,00;82,29;2,26;5842,66;26,70
30,80;67,86;88,09;30,14;23,14;8,13;75,17;0,15;0,37;0,40;0,77;0,00;0,00;0,00;0,02;37,62;127,10;53,47;0,70;5854,45;28,60
31,60;69,46;89,44;29,87;22,86;6,84;62,35;0,13;0,43;0,39;0,74;0,00;0,00;0,00;0,04;37,48;127,02;56,44;1,23;5846,70;29,40
30,10;70,74;89,26;29,33;23,50;8,50;25,68;0,20;0,43;0,46;0,77;0,00;0,00;0,00;0,05;37,58;126,94;75,09;1,77;5875,92;27,40
30,10;78,78;98,76;28,61;22,04;12,39;38,96;0,16;0,39;0,39;0,78;0,00;0,00;0,00;0,05;37,62;127,00;146,55;4,73;5914,82;27,70
30,30;64,93;86,08;30,74;23,94;8,38;11,59;0,15;0,46;0,37;0,80;0,00;0,00;0,00;0,05;37,55;127,04;26,30;0,57;5841,54;27,60
31,30;68,96;88,98;30,14;23,73;7,93;65,38;0,14;0,47;0,40;0,75;0,00;0,00;0,00;0,04;37,51;127,09;21,97;0,13;5834,98;28,50
31,00;75,45;90,75;28,96;23,53;8,19;57,09;0,21;0,53;0,46;0,76;0,00;0,00;0,00;0,05;37,54;126,89;15,59;0,16;5833,51;27,60
30,10;71,47;89,10;29,49;23,70;8,43;32,25;0,21;0,53;0,46;0,79;0,00;0,00;0,00;0,05;37,52;126,91;17,30;0,22;5832,41;27,70
30,80;66,42;86,66;30,36;24,07;8,11;16,09;0,20;0,53;0,45;0,81;0,00;0,00;0,00;0,05;37,52;126,97;19,58;0,27;5837,30;27,90
24,90;55,89;97,40;30,46;22,08;7,39;63,60;0,81;0,43;0,16;0,00;0,10;0,02;0,00;0,00;37,60;126,99;212,34;2,79;5968,81;28,00
28,00;49,90;95,74;32,35;23,83;6,72;49,89;0,87;0,47;0,18;0,04;0,10;0,02;0,00;0,00;37,60;127,03;44,76;0,51;5844,40;30,00
27,60;45,40;93,06;33,17;24,15;7,10;22,33;0,82;0,47;0,19;0,06;0,09;0,02;0,00;0,00;37,58;127,06;33,31;0,27;5838,65;30,80
28,20;55,13;98,72;32,12;23,50;6,55;69,94;0,85;0,42;0,18;0,00;0,12;0,02;0,00;0,00;37,65;127,02;45,72;2,53;5832,03;30,60
28,10;49,99;95,07;31,65;23,60;6,26;105,17;0,82;0,48;0,21;0,02;0,14;0,02;0,00;0,00;37,55;127,14;35,04;0,51;5834,41;32,60
28,00;46,41;90,99;32,78;24,13;6,41;52,17;0,80;0,45;0,14;0,05;0,17;0,01;0,00;0,00;37,51;127,04;54,64;0,15;5848,64;31,10
26,90;58,79;96,01;30,62;22,34;6,22;105,49;0,82;0,48;0,11;0,02;0,08;0,01;0,00;0,00;37,58;126,84;12,37;0,10;5824,21;30,70
27,10;47,52;92,53;32,29;22,20;6,15;47,23;0,78;0,46;0,08;0,02;0,10;0,00;0,00;0,00;37,47;126,91;52,52;1,56;5838,57;30,50
26,90;55,48;95,71;30,75;22,02;6,71;83,59;0,77;0,52;0,11;0,02;0,05;0,01;0,00;0,00;37,50;126,83;50,93;0,41;5851,99;29,60
26,10;46,40;95,20;31,21;21,43;6,86;58,29;0,71;0,50;0,09;0,01;0,15;0,00;0,00;0,00;37,46;126,96;208,51;5,18;5865,76;30,00
28,40;46,94;92,68;33,04;24,15;6,58;56,80;0,81;0,46;0,16;0,05;0,15;0,02;0,00;0,00;37,54;127,09;28,70;0,62;5839,28;31,40
27,20;48,62;91,19;31,67;23,74;6,55;29,33;0,80;0,51;0,17;0,00;0,07;0,01;0,00;0,00;37,55;126,99;132,12;0,59;5899,09;30,40
28,40;45,28;93,78;33,05;23,90;6,78;37,79;0,80;0,50;0,16;0,03;0,12;0,02;0,00;0,00;37,58;127,08;59,83;2,69;5835,56;30,80
27,20;46,24;91,37;32,76;23,30;6,27;20,85;0,79;0,46;0,11;0,01;0,07;0,00;0,00;0,00;37,50;126,93;30,97;0,62;5832,85;30,20
26,60;50,32;92,76;32,16;24,14;6,41;32,33;0,84;0,47;0,14;0,01;0,06;0,01;0,00;0,00;37,55;126,94;30,05;0,86;5841,97;29,90
26,50;48,17;95,20;31,94;23,16;6,26;83,26;0,74;0,48;0,10;0,00;0,15;0,00;0,00;0,00;37,47;127,00;82,29;2,26;5835,20;29,30
28,30;50,64;95,40;32,03;23,35;5,89;103,57;0,85;0,49;0,15;0,01;0,10;0,03;0,00;0,00;37,62;127,10;53,47;0,70;5847,30;30,10
29,00;48,98;93,91;32,18;23,44;6,10;89,74;0,77;0,46;0,10;0,02;0,16;0,01;0,00;0,00;37,48;127,02;56,44;1,23;5839,43;32,20
26,70;51,32;94,77;31,71;23,61;6,44;42,28;0,83;0,44;0,16;0,01;0,09;0,02;0,00;0,00;37,58;126,94;75,09;1,77;5868,88;30,20
27,60;58,70;99,12;30,89;23,06;7,66;65,49;0,82;0,37;0,19;0,00;0,11;0,02;0,00;0,00;37,62;127,00;146,55;4,73;5907,94;29,90
27,40;45,64;92,22;33,10;24,36;7,07;24,43;0,80;0,45;0,18;0,05;0,12;0,01;0,00;0,00;37,55;127,04;26,30;0,57;5834,45;30,40
28,00;47,55;91,69;32,59;24,14;5,97;75,99;0,81;0,45;0,14;0,05;0,14;0,01;0,00;0,00;37,51;127,09;21,97;0,13;5827,83;30,50
27,60;52,54;94,86;31,28;23,44;6,17;69,97;0,82;0,49;0,13;0,01;0,06;0,01;0,00;0,00;37,54;126,89;15,59;0,16;5826,39;31,30
27,50;49,28;93,23;32,09;23,64;6,26;41,83;0,83;0,48;0,12;0,01;0,05;0,01;0,00;0,00;37,52;126,91;17,30;0,22;5825,26;31,50
27,50;45,62;89,80;32,98;24,40;6,21;25,74;0,80;0,49;0,17;0,00;0,08;0,01;0,00;0,00;37,52;126,97;19,58;0,27;5830,21;31,40
27,80;58,73;99,14;29,86;21,12;7,80;59,43;0,32;0,26;0,06;0,01;0,00;0,00;0,00;0,00;37,60;126,99;212,34;2,79;5961,38;28,20
29,60;51,94;92,54;31,80;22,93;6,67;44,75;0,20;0,21;0,15;0,00;0,00;0,00;0,00;0,00;37,60;127,03;44,76;0,51;5836,71;30,80
29,90;47,33;87,69;32,68;23,21;7,28;11,14;0,25;0,26;0,12;0,00;0,00;0,00;0,00;0,00;37,58;127,06;33,31;0,27;5830,97;31,10
30,20;58,35;97,11;31,24;22,40;5,56;64,17;0,19;0,22;0,15;0,00;0,00;0,00;0,00;0,00;37,65;127,02;45,72;2,53;5824,26;31,60
32,40;53,61;94,23;31,40;22,81;6,55;124,45;0,22;0,18;0,10;0,00;0,00;0,00;0,00;0,00;37,55;127,14;35,04;0,51;5826,66;33,60
30,70;50,27;91,82;31,80;22,17;7,10;48,37;0,25;0,23;0,08;0,01;0,00;0,00;0,00;0,00;37,51;127,04;54,64;0,15;5840,88;31,00
30,20;66,59;97,10;29,08;21,76;5,61;111,86;0,34;0,29;0,08;0,09;0,00;0,00;0,00;0,00;37,58;126,84;12,37;0,10;5816,50;30,70
29,60;56,62;95,07;30,47;21,27;6,36;40,39;0,31;0,27;0,09;0,05;0,00;0,00;0,00;0,00;37,47;126,91;52,52;1,56;5830,74;30,30
29,00;64,07;96,83;29,11;21,08;6,38;83,14;0,33;0,27;0,06;0,07;0,00;0,00;0,00;0,00;37,50;126,83;50,93;0,41;5844,31;29,60
28,60;56,90;97,82;29,56;20,31;7,26;53,53;0,31;0,24;0,08;0,03;0,00;0,00;0,00;0,00;37,46;126,96;208,51;5,18;5857,18;29,30
30,60;46,92;89,46;32,59;22,84;7,01;57,33;0,24;0,20;0,09;0,00;0,00;0,00;0,00;0,00;37,54;127,09;28,70;0,62;5831,66;31,40
29,30;50,02;92,28;31,29;21,90;7,30;23,63;0,29;0,27;0,04;0,02;0,00;0,00;0,00;0,00;37,55;126,99;132,12;0,59;5891,30;31,30
30,70;46,78;87,39;32,74;23,22;7,15;30,46;0,25;0,27;0,10;0,00;0,00;0,00;0,00;0,00;37,58;127,08;59,83;2,69;5827,71;31,60
29,80;52,37;92,86;31,31;21,89;6,64;12,63;0,31;0,24;0,11;0,02;0,00;0,00;0,00;0,00;37,50;126,93;30,97;0,62;5825,11;30,10
29,30;53,35;93,54;31,43;22,29;6,58;27,18;0,30;0,27;0,03;0,03;0,00;0,00;0,00;0,00;37,55;126,94;30,05;0,86;5834,36;29,60
28,90;56,73;95,92;30,56;21,47;6,69;82,57;0,27;0,23;0,09;0,01;0,00;0,00;0,00;0,00;37,47;127,00;82,29;2,26;5827,13;29,40
30,10;54,09;90,12;31,40;22,94;6,31;107,04;0,20;0,22;0,16;0,01;0,00;0,00;0,00;0,00;37,62;127,10;53,47;0,70;5839,57;31,40
31,70;54,43;94,73;31,01;21,81;6,57;90,51;0,25;0,23;0,08;0,01;0,00;0,00;0,00;0,00;37,48;127,02;56,44;1,23;5831,56;32,30
29,90;54,22;94,59;30,97;22,03;6,46;35,35;0,32;0,27;0,05;0,03;0,00;0,00;0,00;0,00;37,58;126,94;75,09;1,77;5861,26;30,40
29,40;60,94;99,46;30,32;21,75;7,28;61,23;0,25;0,21;0,07;0,00;0,01;0,00;0,00;0,00;37,62;127,00;146,55;4,73;5900,49;30,20
29,80;47,15;90,11;32,73;22,86;7,19;12,99;0,26;0,24;0,06;0,00;0,00;0,00;0,00;0,00;37,55;127,04;26,30;0,57;5826,78;30,30
29,90;50,64;91,88;31,80;22,78;6,54;84,48;0,25;0,20;0,07;0,01;0,00;0,00;0,00;0,00;37,51;127,09;21,97;0,13;5820,10;31,30
30,60;61,64;95,30;29,99;21,89;5,79;76,10;0,31;0,26;0,08;0,04;0,00;0,00;0,00;0,00;37,54;126,89;15,59;0,16;5818,68;31,30
31,10;56,55;93,49;30,80;21,99;6,16;40,53;0,31;0,25;0,08;0,02;0,00;0,00;0,00;0,00;37,52;126,91;17,30;0,22;5817,52;30,80
30,30;49,33;91,12;32,11;22,46;6,95;18,63;0,29;0,24;0,06;0,01;0,00;0,00;0,00;0,00;37,52;126,97;19,58;0,27;5822,53;31,30
27,60;67,76;97,22;28,23;21,67;9,50;54,58;0,02;0,08;0,64;0,86;0,00;0,00;0,04;7,65;37,60;126,99;212,34;2,79;5953,38;27,10
30,30;61,04;95,86;29,97;23,08;6,90;49,49;0,07;0,12;0,73;0,86;0,00;0,00;0,04;9,64;37,60;127,03;44,76;0,51;5828,44;29,80
30,00;57,94;92,82;30,47;24,02;7,03;36,93;0,06;0,09;0,72;0,83;0,00;0,00;0,05;11,87;37,58;127,06;33,31;0,27;5822,71;29,70
31,10;67,26;98,65;29,72;22,22;8,24;53,85;0,06;0,08;0,60;0,92;0,00;0,00;0,02;7,82;37,65;127,02;45,72;2,53;5815,99;29,90
33,50;64,03;94,20;29,43;22,85;7,16;91,65;0,02;0,07;0,72;0,84;0,00;0,00;0,09;8,76;37,55;127,14;35,04;0,51;5818,32;31,30
30,50;61,80;93,21;29,68;23,56;7,32;59,29;0,01;0,11;0,70;0,81;0,00;0,00;0,08;10,56;37,51;127,04;54,64;0,15;5832,54;29,20
30,10;67,64;95,20;28,98;22,66;7,15;93,39;0,11;0,12;0,70;0,80;0,00;0,00;0,03;5,59;37,58;126,84;12,37;0,10;5808,19;29,80
29,40;62,78;92,78;29,35;22,94;7,18;48,74;0,05;0,10;0,74;0,79;0,00;0,00;0,06;7,84;37,47;126,91;52,52;1,56;5822,30;28,90
28,80;68,93;94,50;28,70;21,95;6,99;63,76;0,05;0,12;0,66;0,85;0,00;0,00;0,10;4,86;37,50;126,83;50,93;0,41;5836,04;28,30
28,40;64,98;94,58;28,07;22,03;7,08;58,64;0,01;0,08;0,70;0,71;0,00;0,00;0,08;10,11;37,46;126,96;208,51;5,18;5847,94;28,00
